"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date_extracted","day_of_week","time_extracted","hour_extract"
"1580","#Today in 1952 Birth of American #composer Lee #Hyla #MusicHistory #classicalmusic https://t.co/v9VQ8ulygT",FALSE,1,NA,2017-08-31 12:06:34,FALSE,NA,"903227510820925440",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NesterTweets",1,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1580,12
"1581","Back to Real Life.
#backtowork #rdv #music #newadventures #subway #paris #opera‚Ä¶ https://t.co/nkFpeqF5nq",FALSE,0,NA,2017-08-31 12:03:05,FALSE,NA,"903226635733803008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","casanolaurent",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1581,12
"1582","Link in bio #HOT Ì†ΩÌ¥• #NEWMUSIC #MUSIC #NEWARTIST #INDIE #MUSICIAN #SONGWRITER #COMPOSER‚Ä¶ https://t.co/C35WxlC0Ef",FALSE,3,NA,2017-08-31 12:03:04,FALSE,NA,"903226629710913536",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","slimvegas",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1582,12
"1583","The latest Tech Times 21: Media, Music, Society! https://t.co/QxIPEGF3zy #songchallenges #composer",FALSE,0,NA,2017-08-31 12:02:31,FALSE,NA,"903226490896179207",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","dalatindiva",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1583,12
"1584","#Today in 1952 Birth of American #composer Lee #Hyla #MusicHistory #classicalmusic https://t.co/PaxVS3hOyi",FALSE,4,NA,2017-08-31 12:00:48,FALSE,NA,"903226059117748224",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","today_classical",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1584,12
"1585","Saxophonist is told to play while undergoing brain surgery https://t.co/BU0PkLd4EW #ClassicalMusic https://t.co/sjUEUfOW5w",FALSE,4,NA,2017-08-31 11:58:52,FALSE,NA,"903225572398125056",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NesterTweets",1,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1585,11
"1586","RT @hopeagnstcancer: Book your #Opera tickets before 5pm today for an early bird offer of ¬£50 - all funds raised go to local #cancerresearc‚Ä¶",FALSE,0,NA,2017-08-31 11:58:19,FALSE,NA,"903225434090987521",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ERRECRUITMENT1",1,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1586,11
"1587","BBC News - Cardiff Sinfonietta orchestra conductor academy launched d https://t.co/PeLQNWBiMr  #classicalmusic",FALSE,1,NA,2017-08-31 11:55:12,FALSE,NA,"903224652738285568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SysReviews",1,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1587,11
"1588","Saxophonist is told to play while undergoing brain surgery https://t.co/d6TlWrbtUU #ClassicalMusic https://t.co/dQ2yTXZmvo",FALSE,4,NA,2017-08-31 11:54:35,FALSE,NA,"903224493698461696",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","CIassicalMusic",4,FALSE,FALSE,"-0.17772317","51.50097703",2017-08-31,"Thurs",1588,11
"1589","#Schubert: Andante con moto from Piano Trio No. 2. Featured in many films. #TrioWanderer. #classicalmusic https://t.co/L3mVNtgeJd",FALSE,1,NA,2017-08-31 11:53:28,FALSE,NA,"903224214773272577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pearls_of_music",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1589,11
"1590","Streams Of Laughter by https://t.co/JxZAatEZw6 https://t.co/r2UbcL1kGW  #jazz #Classical #piano  #instrumental #nyc #composer",FALSE,0,NA,2017-08-31 11:53:02,FALSE,NA,"903224107268964352",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","Braziliz",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1590,11
"1591","#Today in 1945 Birth of Israeli-American #violinist and conductor Itzhak #Perlman. #MusicHistory #classicalmusic https://t.co/ewRVf7HNn9",FALSE,2,NA,2017-08-31 11:50:47,FALSE,NA,"903223539154739201",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NesterTweets",1,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1591,11
"1592","RT @today_classical: #Today in 1945 Birth of Israeli-American #violinist and conductor Itzhak #Perlman. #MusicHistory #classicalmusic https‚Ä¶",FALSE,0,NA,2017-08-31 11:49:53,FALSE,NA,"903223311068520448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WhileTurning",15,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1592,11
"1593","RT @emccarthyluddy: Looking forward to joining @TanaseDana @CloKinsella and #DavidAdams for some #opera favourites and #duets next week @Mi‚Ä¶",FALSE,0,NA,2017-08-31 11:48:37,FALSE,NA,"903222993513525248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TanaseDana",2,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1593,11
